"neo","pha","diameter","e","a","w","per_y"
Y,Y,0.791,0.2094,0.8279,327.02,0.753
Y,Y,1.717,0.2921,1.11,91.01,1.17
Y,Y,,0.2790,0.9879,56.22,0.982
Y,Y,0.163,0.1359,1.001,279.34,1
Y,Y,,0.4233,1.666,270.20,2.15
Y,Y,,0.5656,2.151,326.83,3.15
Y,Y,,0.4679,1.657,203.08,2.13
Y,Y,0.9,0.5419,2.162,139.85,3.18
Y,Y,,0.6261,1.905,120.48,2.63
Y,Y,,0.6030,1.336,115.46,1.54
Y,Y,,0.5837,1.086,61.76,1.13
Y,Y,,0.3106,1.461,321.96,1.77
Y,Y,,0.7028,2.558,131.03,4.09
Y,Y,,0.3111,1.448,211.38,1.74
Y,Y,1.196,0.3501,1.055,24.06,1.08
Y,Y,,0.4245,1.271,259.25,1.43
Y,Y,,0.6142,1.418,259.49,1.69
Y,Y,,0.5204,1.89,221.56,2.6
Y,Y,,0.5348,1.858,125.90,2.53
Y,Y,,0.6314,2.421,243.14,3.77
Y,Y,,0.5980,2.121,42.79,3.09
Y,Y,0.863,0.3767,1.365,289.83,1.59
Y,Y,,0.6734,2.429,54.61,3.78
Y,Y,0.430,0.3222,1.355,244.02,1.58
Y,Y,,0.3824,1.373,63.76,1.61
Y,Y,,0.8056,1.406,224.33,1.67
Y,Y,,0.2266,1.075,75.98,1.11
Y,Y,,0.4077,1.452,110.74,1.75
Y,Y,,0.4246,1.449,101.67,1.74
Y,Y,1.244,0.7875,1.453,108.05,1.75
Y,Y,,0.6647,2.117,251.11,3.08
Y,Y,,0.5923,1.847,287.62,2.51
Y,Y,,0.4660,1.845,162.23,2.51
Y,Y,,0.1520,0.959,297.65,0.939
Y,Y,,0.7323,1.649,315.19,2.12
Y,Y,,0.5694,1.684,86.96,2.19
Y,Y,,0.5611,2.32,278.73,3.53
Y,Y,,0.5624,0.6371,56.43,0.508
Y,Y,0.376,0.4390,1.788,44.08,2.39
Y,Y,,0.7156,2.574,278.15,4.13
Y,Y,,0.6420,2.09,80.05,3.02
Y,Y,0.423,0.1186,1.039,301.96,1.06
Y,Y,,0.2353,0.9338,300.60,0.902
Y,Y,,0.3547,1.299,292.44,1.48
Y,Y,,0.5151,2.133,182.58,3.12
Y,Y,,0.6530,2.849,293.89,4.81
Y,Y,0.488,0.6755,1.114,231.07,1.18
Y,Y,,0.5865,1.527,10.62,1.89
Y,Y,,0.4851,1.671,263.70,2.16
Y,Y,,0.4121,0.9137,211.34,0.873
Y,Y,,0.2618,1.181,66.42,1.28
Y,Y,,0.2705,1.23,45.22,1.36
Y,Y,1.4,0.7117,2.527,316.19,4.02
Y,Y,,0.5951,1.901,43.48,2.62
Y,Y,,0.6568,2.017,235.19,2.87
Y,Y,0.432,0.4008,1.342,64.70,1.55
Y,Y,,0.6158,1.095,218.63,1.15
Y,Y,0.482,0.2614,1.118,108.11,1.18
Y,Y,,0.7022,1.479,244.53,1.8
Y,Y,,0.3693,0.823,30.60,0.747
Y,Y,0.217,0.3562,1.457,313.43,1.76
Y,Y,0.55,0.8258,1.699,123.36,2.21
Y,Y,,0.4695,1.576,50.32,1.98
Y,Y,0.344,0.3213,0.9375,125.78,0.908
Y,Y,1.136,0.2589,1.133,94.18,1.21
Y,Y,,0.5418,2.231,4.95,3.33
Y,Y,2.914,0.4771,1.084,104.99,1.13
Y,Y,1.989,0.8652,1.833,48.99,2.48
Y,Y,,0.6954,2.502,345.93,3.96
Y,Y,0.881,0.6417,2.462,54.50,3.86
Y,Y,0.495,0.4446,1.761,191.28,2.34
Y,Y,,0.8368,2.573,286.08,4.13
Y,Y,0.654,0.6025,2.109,243.06,3.06
Y,Y,0.398,0.3645,0.893,108.71,0.844
Y,Y,0.535,0.7011,2.956,60.01,5.08
Y,Y,,0.5332,2.015,175.25,2.86
Y,Y,,0.6610,1.675,100.33,2.17
Y,Y,0.291,0.5459,0.8748,136.04,0.818
Y,Y,,0.6462,2.28,233.53,3.44
Y,Y,,0.6324,1.001,200.26,1
Y,Y,,0.2519,1.133,76.65,1.21
Y,Y,0.785,0.2614,1.046,294.33,1.07
Y,Y,0.113,0.3600,0.7469,8.19,0.645
Y,Y,,0.4107,1.375,194.12,1.61
Y,Y,0.361,0.3783,1.454,301.85,1.75
Y,Y,,0.3277,1.129,284.75,1.2
Y,Y,,0.6573,2.409,305.57,3.74
Y,Y,0.562,0.6599,1.04,111.96,1.06
Y,Y,0.439,0.5142,1.269,263.93,1.43
Y,Y,,0.7844,2.718,277.99,4.48
Y,Y,,0.7195,1.379,234.82,1.62
Y,Y,,0.6087,1.917,271.30,2.65
Y,Y,0.888,0.6037,2.001,300.28,2.83
Y,Y,,0.3206,1.28,301.70,1.45
Y,Y,,0.9149,1.37,211.04,1.6
Y,Y,,0.2373,1.011,74.14,1.02
Y,Y,0.439,0.6170,1.372,92.47,1.61
Y,Y,,0.6109,1.67,85.34,2.16
Y,Y,,0.4005,1.238,285.16,1.38
Y,Y,,0.2485,0.9857,310.74,0.979
Y,Y,,0.5727,2.421,345.67,3.77
