"neo","pha","diameter","e","a","w","per_y"
Y,Y,,0.2268,1.322,149.05,1.52
Y,Y,,0.5796,1.938,63.23,2.7
Y,Y,,0.5132,2.061,36.15,2.96
Y,Y,,0.5884,2.279,353.73,3.44
Y,Y,,0.3530,1.26,106.10,1.42
Y,Y,,0.0254,1.042,302.16,1.06
Y,Y,,0.4560,1.614,49.30,2.05
Y,Y,,0.8818,2.249,140.48,3.37
Y,Y,,0.7393,2.047,181.27,2.93
Y,Y,,0.5213,1.821,327.46,2.46
Y,Y,,0.2871,1.083,101.07,1.13
Y,Y,,0.5604,2.308,161.05,3.51
Y,Y,,0.5837,2.009,242.12,2.85
Y,Y,,0.7187,2.493,286.40,3.94
Y,Y,,0.2665,0.8411,150.03,0.771
Y,Y,,0.8409,2.553,341.47,4.08
Y,Y,,0.5286,1.695,298.37,2.21
Y,Y,,0.6364,2.468,40.85,3.88
Y,Y,,0.6493,0.9822,139.68,0.973
Y,Y,,0.8877,3.333,65.96,6.08
Y,Y,,0.6375,1.903,79.12,2.63
Y,Y,,0.4244,1.195,126.47,1.31
Y,Y,,0.6790,2.295,268.91,3.48
Y,Y,,0.4538,1.51,253.26,1.86
Y,Y,,0.7010,2.133,92.08,3.11
Y,Y,,0.6626,2.889,30.50,4.91
Y,Y,,0.8171,1.707,232.95,2.23
Y,Y,,0.4868,1.71,66.86,2.24
Y,Y,,0.6015,2.031,95.89,2.89
Y,Y,,0.6031,2.614,181.28,4.23
Y,Y,,0.6198,2.561,224.07,4.1
Y,Y,,0.5190,2.146,34.03,3.14
Y,Y,,0.1753,1.244,18.35,1.39
Y,Y,,0.8704,2.727,285.89,4.5
Y,Y,,0.5136,2.016,217.93,2.86
Y,Y,,0.5299,1.785,108.76,2.39
Y,Y,,0.6381,2.859,194.31,4.83
Y,Y,,0.7015,2.316,276.17,3.52
Y,Y,,0.6088,2.555,51.67,4.08
Y,Y,,0.5502,2.034,85.92,2.9
Y,Y,,0.2842,0.8037,125.54,0.721
Y,Y,,0.6420,2.466,221.16,3.87
Y,Y,,0.5177,1.949,131.91,2.72
Y,Y,,0.4421,1.172,256.17,1.27
Y,Y,,0.6944,2.994,217.95,5.18
Y,Y,,0.6685,2.819,78.21,4.73
Y,Y,,0.8121,2.476,235.93,3.9
Y,Y,,0.3810,1.624,10.38,2.07
Y,Y,,0.3034,0.8176,115.27,0.739
Y,Y,,0.6246,2.582,44.06,4.15
Y,Y,,0.6009,2.472,170.61,3.89
Y,Y,,0.7436,2.418,91.18,3.76
Y,Y,,0.4739,1.438,293.43,1.72
Y,Y,,0.7212,2.298,283.11,3.48
Y,Y,,0.4979,1.561,219.70,1.95
Y,Y,,0.8254,2.185,119.60,3.23
Y,Y,,0.5932,1.718,115.08,2.25
Y,Y,,0.4458,1.867,172.92,2.55
Y,Y,,0.5741,2.21,134.93,3.29
Y,Y,,0.5848,1.921,290.41,2.66
Y,Y,,0.4823,1.52,234.70,1.87
Y,Y,,0.3078,1.13,277.18,1.2
Y,Y,,0.4498,1.804,209.72,2.42
Y,Y,,0.4702,0.8926,133.15,0.843
Y,Y,,0.5423,2.143,342.49,3.14
Y,Y,,0.6865,2.198,107.67,3.26
Y,Y,,0.6096,2.176,22.87,3.21
Y,Y,,0.8669,1.782,318.59,2.38
Y,Y,,0.6153,2.381,143.39,3.67
Y,Y,,0.8472,1.956,291.33,2.74
Y,Y,,0.3708,1.273,107.67,1.44
Y,Y,,0.8029,2.136,262.05,3.12
Y,Y,,0.6641,1.73,83.68,2.28
Y,Y,,0.6297,1.919,286.61,2.66
Y,Y,,0.5663,1.94,116.94,2.7
Y,Y,,0.8301,2.035,130.84,2.9
Y,Y,,0.6489,2.682,99.61,4.39
Y,Y,,0.4178,1.362,282.42,1.59
Y,Y,,0.7365,1.134,102.06,1.21
Y,Y,,0.6685,1.874,37.04,2.57
Y,Y,,0.5333,2.044,334.32,2.92
Y,Y,,0.8046,1.967,95.90,2.76
Y,Y,,0.6907,1.644,72.70,2.11
Y,Y,,0.6651,1.958,261.62,2.74
Y,Y,,0.5775,2.243,320.32,3.36
Y,Y,,0.6442,1.95,294.26,2.72
Y,Y,,0.5855,1.704,63.78,2.22
Y,Y,,0.5228,1.181,110.12,1.28
Y,Y,,0.5829,2.261,312.29,3.4
Y,Y,,0.5698,2.217,215.44,3.3
Y,Y,,0.6195,2.05,127.37,2.94
Y,Y,,0.6662,2.153,80.29,3.16
Y,Y,,0.6210,2.772,197.11,4.62
Y,Y,,0.6952,3.069,214.64,5.38
Y,Y,,0.4760,1.547,126.51,1.92
Y,Y,,0.6537,1.333,25.89,1.54
Y,Y,,0.5482,2.103,177.25,3.05
Y,Y,,0.7199,2.218,88.70,3.3
Y,Y,,0.1399,1.079,113.62,1.12
Y,Y,,0.6883,2.334,294.59,3.57
Y,Y,,0.3723,1.23,95.06,1.36
Y,Y,,0.7744,1.263,136.65,1.42
Y,Y,,0.7431,3.085,113.24,5.42
Y,Y,,0.4629,1.943,186.99,2.71
Y,Y,,0.6026,1.982,118.06,2.79
Y,Y,,0.0716,0.9448,20.04,0.918
Y,Y,,0.2433,1.238,42.77,1.38
Y,Y,,0.5441,2.139,0.09,3.13
Y,Y,,0.6385,2.262,34.87,3.4
Y,Y,,0.3556,1.366,116.04,1.6
Y,Y,,0.4929,1.854,209.48,2.52
Y,Y,,0.6398,2.431,142.46,3.79
Y,Y,,0.4120,0.8501,347.86,0.784
Y,Y,,0.5209,1.69,224.27,2.2
Y,Y,,0.1035,1.066,347.93,1.1
Y,Y,,0.5650,1.89,243.36,2.6
Y,Y,,0.6648,2.834,211.61,4.77
Y,Y,,0.5817,2.451,155.30,3.84
Y,Y,,0.7020,2.104,253.74,3.05
Y,Y,,0.6467,1.91,73.36,2.64
Y,Y,,0.8119,2.224,49.44,3.32
Y,Y,,0.4945,1.36,284.25,1.59
Y,Y,,0.5970,1.889,109.52,2.6
Y,Y,,0.6608,2.549,135.06,4.07
Y,Y,0.453,0.4826,1.861,30.76,2.54
Y,Y,,0.5636,2.269,192.33,3.42
Y,Y,,0.6441,2.551,167.00,4.07
Y,Y,,0.7021,1.092,122.72,1.14
Y,Y,,0.6518,2.369,116.99,3.65
Y,Y,,0.7264,2.608,103.83,4.21
Y,Y,,0.5955,2.436,158.20,3.8
Y,Y,,0.5774,2.379,218.38,3.67
Y,Y,,0.1932,1.25,164.32,1.4
Y,Y,,0.7505,1.608,119.13,2.04
Y,Y,,0.4483,1.648,48.80,2.12
Y,Y,,0.8182,2.214,243.80,3.29
Y,Y,,0.4199,1.66,212.64,2.14
Y,Y,,0.7737,1.522,321.24,1.88
Y,Y,,0.5881,2.166,63.52,3.19
Y,Y,,0.3726,1.332,84.08,1.54
Y,Y,,0.6126,2.385,334.50,3.68
Y,Y,,0.5529,2.201,355.09,3.27
Y,Y,,0.4439,1.065,259.88,1.1
Y,Y,,0.4382,1.628,321.17,2.08
Y,Y,,0.6285,2.78,7.68,4.63
Y,Y,,0.6548,2.512,317.04,3.98
Y,Y,,0.5415,1.535,99.72,1.9
Y,Y,,0.7365,1.789,280.48,2.39
Y,Y,,0.5597,0.9373,121.05,0.907
Y,Y,,0.6394,2.593,190.54,4.17
Y,Y,,0.3495,1.523,333.52,1.88
Y,Y,,0.5953,2.007,170.91,2.84
Y,Y,,0.5589,1.978,237.91,2.78
Y,Y,,0.5866,2.206,123.42,3.28
Y,Y,,0.5829,2.448,183.45,3.83
Y,Y,,0.3673,1.172,90.90,1.27
Y,Y,,0.3562,0.927,129.83,0.893
Y,Y,,0.6138,2.528,201.26,4.02
Y,Y,,0.4684,1.473,13.54,1.79
Y,Y,0.129,0.3274,1.013,244.68,1.02
Y,Y,,0.2822,0.8373,315.27,0.766
Y,Y,,0.4997,1.641,261.11,2.1
Y,Y,,0.7291,1.461,219.92,1.77
Y,Y,,0.5842,1.984,50.92,2.8
Y,Y,,0.4895,1.73,295.26,2.27
Y,Y,,0.6760,2.17,116.23,3.2
Y,Y,,0.5904,1.536,244.15,1.9
Y,Y,,0.2595,1.206,41.10,1.32
Y,Y,,0.5992,2.352,218.02,3.61
Y,Y,,0.6204,2.718,202.23,4.48
Y,Y,,0.6374,2.698,56.51,4.43
Y,Y,,0.6747,2.211,114.21,3.29
Y,Y,,0.8009,2.213,271.85,3.29
Y,Y,,0.3219,1.428,37.75,1.71
Y,Y,,0.5982,2.013,42.21,2.86
Y,Y,,0.6737,3.039,204.63,5.3
Y,Y,,0.5349,1.785,306.05,2.38
Y,Y,,0.3163,0.8186,30.58,0.741
Y,Y,,0.5627,1.441,256.13,1.73
Y,Y,,0.3253,1.413,221.52,1.68
Y,Y,,0.7265,1.345,237.92,1.56
Y,Y,,0.6785,2.455,195.15,3.85
Y,Y,,0.6872,2.568,327.13,4.12
Y,Y,,0.7674,2.18,82.02,3.22
Y,Y,,0.3717,1.325,162.92,1.53
Y,Y,,0.1797,1.228,186.55,1.36
Y,Y,0.340,0.6713,2.867,304.00,4.86
Y,Y,,0.3354,1.538,14.33,1.91
Y,Y,0.149,0.7456,1.613,117.05,2.05
Y,Y,,0.6501,2.742,196.11,4.54
Y,Y,,0.8883,2.187,235.15,3.23
Y,Y,,0.7718,2.841,107.98,4.79
Y,Y,0.285,0.3563,1.527,359.53,1.89
Y,Y,0.095,0.6317,2.38,105.34,3.67
Y,Y,0.402,0.6232,2.677,63.60,4.38
Y,Y,0.203,0.6578,2.696,57.21,4.43
Y,Y,0.510,0.5639,2.18,201.60,3.22
Y,Y,,0.7239,3.655,343.28,6.99
Y,Y,0.192,0.3198,1.19,292.02,1.3
Y,Y,0.208,0.6110,2.231,289.91,3.33
Y,Y,0.226,0.5445,1.723,87.04,2.26
Y,Y,,0.6686,1.069,28.90,1.1
Y,Y,0.214,0.5903,2.381,185.58,3.67
Y,Y,,0.7640,2.109,260.24,3.06
Y,Y,,0.6622,2.384,287.77,3.68
Y,Y,,0.5863,2.168,232.99,3.19
Y,Y,0.417,0.2339,1.275,234.97,1.44
Y,Y,0.213,0.2118,0.8889,131.06,0.838
Y,Y,0.108,0.8073,1.829,249.31,2.47
Y,Y,0.877,0.7609,1.89,79.58,2.6
Y,Y,0.599,0.5398,1.756,119.21,2.33
Y,Y,0.238,0.4093,1.629,8.15,2.08
Y,Y,0.143,0.6759,0.6821,195.65,0.563
Y,Y,,0.6544,2.16,116.80,3.18
Y,Y,,0.5450,2.211,2.47,3.29
Y,Y,,0.5959,2.392,67.24,3.7
Y,Y,,0.6694,2.351,69.72,3.61
Y,Y,,0.3902,1.498,13.32,1.83
Y,Y,0.603,0.8249,2.213,92.67,3.29
Y,Y,,0.5235,1.483,101.55,1.81
Y,Y,0.712,0.6162,2.65,20.40,4.31
Y,Y,,0.7734,2.238,102.09,3.35
Y,Y,,0.6783,2.455,76.57,3.85
Y,Y,,0.6384,1.962,247.93,2.75
Y,Y,,0.6973,2.19,135.44,3.24
Y,Y,0.380,0.5920,2.446,215.66,3.83
Y,Y,0.152,0.6117,1.754,65.78,2.32
Y,Y,0.124,0.1813,0.9184,310.30,0.88
Y,Y,,0.6718,2.126,288.10,3.1
Y,Y,,0.5035,1.973,200.49,2.77
Y,Y,,0.4391,1.286,285.90,1.46
Y,Y,,0.5281,1.743,237.33,2.3
Y,Y,,0.3013,1.157,107.45,1.25
Y,Y,0.273,0.3427,1.523,197.34,1.88
Y,Y,,0.4946,1.822,94.57,2.46
Y,Y,,0.6971,2.373,125.07,3.66
Y,Y,,0.6454,2.811,348.67,4.71
Y,Y,,0.7832,2.263,240.14,3.4
Y,Y,,0.7097,2.634,302.99,4.27
Y,Y,,0.8031,1.921,63.30,2.66
Y,Y,,0.4644,1.83,221.39,2.47
Y,Y,,0.9449,2.493,305.88,3.94
Y,Y,,0.7184,1.726,69.69,2.27
Y,Y,,0.1153,1.123,171.26,1.19
Y,Y,,0.5494,1.473,105.83,1.79
Y,Y,,0.6109,2.15,221.21,3.15
Y,Y,,0.0493,0.9573,350.52,0.937
Y,Y,,0.6423,2.622,146.26,4.25
Y,Y,,0.6902,1.996,82.30,2.82
Y,Y,,0.7435,2.343,282.45,3.59
Y,Y,,0.5404,1.654,17.23,2.13
Y,Y,,0.5689,1.191,94.90,1.3
Y,Y,,0.7860,1.565,227.45,1.96
Y,Y,,0.5911,1.8,109.69,2.41
Y,Y,,0.9226,3.363,307.63,6.17
Y,Y,,0.6918,2.818,334.46,4.73
Y,Y,,0.4510,1.928,163.63,2.68
Y,Y,,0.2875,1.185,286.18,1.29
Y,Y,,0.3576,1.112,85.63,1.17
Y,Y,,0.7256,1.299,129.58,1.48
Y,Y,,0.9546,2.206,188.57,3.28
Y,Y,,0.8761,1.955,166.85,2.73
Y,Y,0.852,0.6517,2.913,202.74,4.97
Y,Y,,0.7318,3.198,139.19,5.72
Y,Y,,0.6223,2.62,30.43,4.24
Y,Y,,0.5206,2.16,28.21,3.17
Y,Y,,0.5241,0.904,48.91,0.859
Y,Y,,0.4430,1.656,251.12,2.13
Y,Y,,0.4390,1.631,149.01,2.08
Y,Y,,0.5149,1.807,26.89,2.43
Y,Y,,0.5893,2.551,345.35,4.07
Y,Y,,0.4770,1.724,243.62,2.26
Y,Y,,0.6462,2.464,122.23,3.87
Y,Y,,0.7084,0.9096,313.36,0.868
Y,Y,,0.4512,1.899,163.12,2.62
Y,Y,,0.6867,1.124,305.08,1.19
Y,Y,,0.3361,1.231,257.17,1.37
Y,Y,,0.1338,1.193,189.89,1.3
Y,Y,,0.6704,2.422,53.01,3.77
Y,Y,,0.5568,2.199,25.02,3.26
Y,Y,,0.4145,1.146,104.11,1.23
Y,Y,,0.8948,2.473,323.36,3.89
Y,Y,,0.9258,1.467,324.07,1.78
Y,Y,,0.7291,2.814,348.25,4.72
Y,Y,,0.2989,1.165,267.37,1.26
Y,Y,,0.7168,2.611,288.89,4.22
Y,Y,,0.0926,1.06,305.90,1.09
Y,Y,,0.5999,1.636,85.36,2.09
Y,Y,,0.4857,1.977,146.07,2.78
Y,Y,,0.5775,1.937,259.30,2.7
Y,Y,,0.7768,2.526,74.06,4.01
Y,Y,,0.6371,1.981,100.06,2.79
Y,Y,,0.6365,2.145,56.78,3.14
Y,Y,,0.2111,1.155,122.83,1.24
Y,Y,,0.6562,2.663,35.88,4.35
Y,Y,,0.4796,1.801,41.52,2.42
Y,Y,,0.3728,1.15,262.19,1.23
Y,Y,,0.5766,0.6938,149.28,0.578
Y,Y,,0.6159,2.605,169.27,4.2
Y,Y,,0.7100,2.179,87.26,3.22
Y,Y,,0.5472,2.147,220.50,3.15
Y,Y,,0.5163,2.014,212.88,2.86
Y,Y,,0.4590,1.642,311.85,2.1
Y,Y,,0.7279,2.46,256.84,3.86
Y,Y,,0.5320,2.173,173.11,3.2
Y,Y,,0.2104,1.197,231.59,1.31
Y,Y,,0.6734,2.824,124.12,4.75
Y,Y,,0.7800,1.1,237.54,1.15
Y,Y,,0.4887,1.638,74.39,2.1
Y,Y,,0.3815,1.337,66.57,1.55
Y,Y,1.252,0.5894,2.559,14.33,4.09
Y,Y,,0.5955,2.425,160.09,3.78
Y,Y,,0.7209,2.264,257.53,3.41
Y,Y,,0.4899,1.822,127.41,2.46
Y,Y,,0.7120,2.141,225.05,3.13
Y,Y,,0.6274,2.575,6.30,4.13
Y,Y,,0.3837,1.697,179.91,2.21
Y,Y,,0.5927,1.768,144.24,2.35
Y,Y,,0.7586,2.821,47.79,4.74
Y,Y,,0.4690,1.935,227.95,2.69
Y,Y,,0.3745,1.026,116.19,1.04
Y,Y,,0.4408,1.733,224.92,2.28
Y,Y,,0.4536,1.077,247.23,1.12
Y,Y,,0.5532,1.663,252.90,2.15
Y,Y,,0.3688,1.426,282.43,1.7
Y,Y,,0.8878,2.441,56.57,3.81
Y,Y,,0.4647,1.468,3.40,1.78
Y,Y,,0.6447,2.68,54.95,4.39
Y,Y,,0.5804,2.228,224.75,3.33
Y,Y,,0.2119,1.16,227.74,1.25
Y,Y,,0.5435,1.968,49.08,2.76
Y,Y,0.629,0.8578,2.232,239.45,3.33
Y,Y,,0.7054,2.303,339.31,3.5
Y,Y,,0.5656,2.343,19.30,3.59
Y,Y,,0.5357,1.966,243.80,2.76
Y,Y,,0.6515,2.464,58.78,3.87
Y,Y,,0.3612,0.7131,190.61,0.602
Y,Y,,0.5810,2.38,29.29,3.67
Y,Y,,0.4903,2.009,173.34,2.85
Y,Y,,0.4982,2.005,189.89,2.84
Y,Y,,0.6979,1.328,78.05,1.53
Y,Y,,0.7377,2.566,124.49,4.11
Y,Y,,0.4900,1.824,312.74,2.46
Y,Y,,0.6724,2.439,351.45,3.81
Y,Y,,0.6811,1.525,317.77,1.88
Y,Y,,0.3049,1.465,355.85,1.77
Y,Y,,0.2285,1.105,253.45,1.16
Y,Y,,0.5820,1.894,125.72,2.61
Y,Y,,0.7698,2.754,262.34,4.57
Y,Y,,0.6641,2.318,251.73,3.53
Y,Y,,0.5196,1.702,4.98,2.22
Y,Y,,0.6666,1.55,258.58,1.93
Y,Y,,0.5357,1.695,283.73,2.21
Y,Y,,0.6339,2.398,215.23,3.71
Y,Y,,0.7839,2.294,148.76,3.48
Y,Y,,0.3097,1.266,28.93,1.42
Y,Y,,0.6739,1.929,281.04,2.68
Y,Y,,0.2306,1.247,128.62,1.39
Y,Y,,0.5566,1.789,68.41,2.39
Y,Y,,0.5843,2.011,273.44,2.85
Y,Y,,0.6172,2.372,340.21,3.65
Y,Y,,0.1534,1.174,133.13,1.27
Y,Y,,0.3716,1.564,186.49,1.96
Y,Y,,0.2739,1.211,154.85,1.33
Y,Y,,0.6400,1.719,167.55,2.25
Y,Y,,0.5099,1.894,44.63,2.61
Y,Y,,0.5944,1.187,69.11,1.29
Y,Y,,0.6547,2.201,230.55,3.27
Y,Y,,0.5066,1.563,104.74,1.95
Y,Y,,0.6079,2.564,198.13,4.11
Y,Y,,0.4081,1.6,209.58,2.02
Y,Y,,0.6548,2.265,251.16,3.41
Y,Y,,0.8019,2.258,278.86,3.39
Y,Y,,0.4838,1.733,191.23,2.28
Y,Y,,0.5111,0.9585,227.81,0.938
Y,Y,,0.6954,1.67,263.09,2.16
Y,Y,,0.7428,2.048,97.24,2.93
Y,Y,,0.7762,1.885,299.41,2.59
Y,Y,,0.6445,2.749,221.56,4.56
Y,Y,,0.7368,1.95,279.39,2.72
Y,Y,,0.2495,1.184,55.24,1.29
Y,Y,,0.6188,1.511,332.76,1.86
Y,Y,,0.5941,2.284,227.80,3.45
Y,Y,,0.7208,2.819,124.53,4.73
Y,Y,,0.6515,2.673,323.84,4.37
Y,Y,,0.3613,1.45,330.09,1.75
Y,Y,,0.7574,2.37,104.15,3.65
Y,Y,,0.6016,2.145,327.27,3.14
Y,Y,,0.5944,2.426,23.87,3.78
Y,Y,,0.1851,1.202,134.17,1.32
Y,Y,,0.6908,1.279,211.11,1.45
Y,Y,,0.5145,1.731,87.19,2.28
Y,Y,,0.3670,1.413,42.20,1.68
Y,Y,0.653,0.5656,2.264,325.87,3.41
Y,Y,0.185,0.4671,1.63,122.10,2.08
Y,Y,,0.7157,2.555,75.07,4.08
Y,Y,,0.5734,1.994,309.02,2.82
Y,Y,,0.4803,1.737,284.38,2.29
Y,Y,,0.6208,2.69,173.12,4.41
Y,Y,,0.9428,2.496,34.65,3.94
Y,Y,0.402,0.6829,2.399,83.81,3.72
Y,Y,,0.4298,1.786,330.28,2.39
Y,Y,,0.4768,1.886,26.70,2.59
Y,Y,0.110,0.7605,2.216,100.04,3.3
Y,Y,,0.6370,2.332,111.86,3.56
Y,Y,0.574,0.8185,2.655,289.50,4.33
Y,Y,0.398,0.7546,2.211,285.01,3.29
Y,Y,,0.6720,2.156,250.31,3.17
Y,Y,,0.5587,1.801,112.73,2.42
Y,Y,,0.7505,2.627,96.94,4.26
Y,Y,,0.4981,1.609,296.31,2.04
Y,Y,0.379,0.2068,1.148,50.46,1.23
Y,Y,0.461,0.6405,2.829,160.25,4.76
Y,Y,,0.2711,0.7522,347.46,0.652
Y,Y,,0.5207,1.891,232.13,2.6
Y,Y,,0.8487,1.959,229.78,2.74
Y,Y,0.325,0.2593,0.8507,144.57,0.785
Y,Y,,0.4889,1.7,45.32,2.22
Y,Y,,0.5493,2.171,128.13,3.2
Y,Y,,0.8941,2.074,206.55,2.99
Y,Y,0.321,0.6919,2.457,106.33,3.85
Y,Y,0.273,0.1678,1.243,143.79,1.39
Y,Y,,0.6870,2.77,11.11,4.61
Y,Y,,0.8208,2.322,235.97,3.54
Y,Y,,0.5380,2.292,4.66,3.47
Y,Y,,0.4064,1.529,231.50,1.89
Y,Y,,0.7011,2.484,298.43,3.91
Y,Y,,0.3513,1.489,29.49,1.82
Y,Y,0.644,0.6417,2.631,37.22,4.27
Y,Y,,0.5760,2.333,127.18,3.56
Y,Y,,0.5223,2.165,183.17,3.18
Y,Y,,0.6127,2.446,234.68,3.82
Y,Y,,0.6420,1.843,102.58,2.5
Y,Y,,0.8251,2.493,290.69,3.94
Y,Y,,0.3699,1.37,207.86,1.6
Y,Y,,0.3736,1.253,115.37,1.4
Y,Y,0.502,0.8344,2.21,276.34,3.29
Y,Y,0.330,0.6282,2.845,8.50,4.8
Y,Y,,0.3855,1.363,305.34,1.59
Y,Y,,0.5524,2.216,320.54,3.3
Y,Y,,0.8548,2.207,283.23,3.28
Y,Y,,0.6445,2.579,18.26,4.14
Y,Y,,0.2922,1.168,242.18,1.26
Y,Y,0.206,0.5455,1.963,222.90,2.75
Y,Y,0.412,0.7001,2.408,296.52,3.74
Y,Y,,0.3730,1.261,64.64,1.42
Y,Y,,0.7967,1.265,231.20,1.42
Y,Y,,0.5186,2.122,341.60,3.09
Y,Y,0.172,0.5238,2.13,141.93,3.11
Y,Y,,0.4199,1.16,81.26,1.25
Y,Y,,0.8861,2.253,248.30,3.38
Y,Y,,0.7031,2.258,106.34,3.39
Y,Y,,0.6243,2.544,10.07,4.06
Y,Y,,0.2616,1.413,180.56,1.68
Y,Y,0.554,0.7065,2.841,256.49,4.79
Y,Y,,0.3239,1.437,182.49,1.72
Y,Y,0.198,0.6358,2.261,68.91,3.4
Y,Y,,0.7509,2.263,308.75,3.4
Y,Y,0.297,0.6400,2.212,245.23,3.29
Y,Y,,0.0631,0.9657,185.76,0.949
Y,Y,,0.5003,1.231,67.43,1.37
Y,Y,,0.6622,2.427,311.85,3.78
Y,Y,0.486,0.7122,2.155,105.22,3.16
Y,Y,,0.7250,2.136,161.36,3.12
Y,Y,,0.5331,1.654,250.80,2.13
Y,Y,,0.5940,2.13,134.64,3.11
Y,Y,0.355,0.7641,2.749,291.08,4.56
Y,Y,,0.4093,0.7497,309.06,0.649
Y,Y,0.129,0.3854,1.553,322.00,1.94
Y,Y,,0.4254,1.407,57.31,1.67
Y,Y,,0.2405,0.907,70.62,0.864
Y,Y,0.374,0.1094,1.127,13.03,1.2
Y,Y,,0.6536,2.728,187.45,4.5
Y,Y,,0.5544,2.032,271.56,2.9
Y,Y,,0.8440,2.367,143.33,3.64
Y,Y,,0.3236,1.415,228.16,1.68
Y,Y,,0.4467,1.75,59.50,2.31
Y,Y,,0.1712,1.25,196.60,1.4
Y,Y,,0.8517,3.597,279.88,6.82
Y,Y,,0.6366,2.814,195.56,4.72
Y,Y,0.184,0.6098,2.003,227.57,2.83
Y,Y,0.437,0.2882,1.338,132.56,1.55
Y,Y,,0.7635,2.801,77.59,4.69
Y,Y,,0.2545,1.155,242.41,1.24
Y,Y,,0.6992,2.449,262.16,3.83
Y,Y,,0.2244,1.317,152.34,1.51
Y,Y,0.435,0.9219,1.926,315.41,2.67
Y,Y,,0.8660,1.776,86.05,2.37
Y,Y,0.535,0.7484,2.741,80.78,4.54
Y,Y,,0.4715,0.6666,42.69,0.544
Y,Y,,0.3664,1.511,125.87,1.86
Y,Y,,0.7346,1.456,261.39,1.76
Y,Y,,0.7891,2.578,103.58,4.14
Y,Y,0.232,0.6513,2.686,224.78,4.4
Y,Y,,0.5218,1.882,35.48,2.58
Y,Y,,0.2544,1.187,54.20,1.29
Y,Y,,0.5446,1.652,247.66,2.12
Y,Y,,0.5491,2.255,189.53,3.39
Y,Y,,0.4891,1.783,148.54,2.38
Y,Y,,0.4745,1.807,135.79,2.43
Y,Y,0.143,0.2001,1.068,108.69,1.1
Y,Y,,0.5982,1.822,282.40,2.46
Y,Y,,0.1693,1.214,198.06,1.34
Y,Y,,0.8045,3.88,124.00,7.64
Y,Y,,0.2803,1.405,254.94,1.67
Y,Y,,0.6722,2.45,74.06,3.84
Y,Y,,0.2226,1.218,128.12,1.34
Y,Y,,0.5045,2.115,16.85,3.08
Y,Y,,0.4347,1.72,40.38,2.26
Y,Y,,0.7503,0.7853,229.82,0.696
Y,Y,0.582,0.5325,1.792,51.32,2.4
Y,Y,1.288,0.6154,2.652,5.48,4.32
Y,Y,0.306,0.6179,2.683,202.91,4.39
Y,Y,,0.1967,1.202,314.83,1.32
Y,Y,,0.5667,1.467,201.73,1.78
Y,Y,,0.2122,0.8164,156.89,0.738
Y,Y,,0.6482,1.139,279.95,1.22
Y,Y,,0.6706,1.688,251.46,2.19
Y,Y,,0.5586,2.254,192.46,3.38
Y,Y,,0.5902,1.83,260.57,2.47
Y,Y,0.258,0.7806,2.016,239.72,2.86
Y,Y,,0.9029,2.15,321.69,3.15
Y,Y,,0.6447,2.587,296.44,4.16
Y,Y,,0.6329,1.308,244.33,1.5
Y,Y,,0.6893,2.596,107.26,4.18
Y,Y,0.328,0.7858,2.291,274.42,3.47
Y,Y,,0.8604,2.18,319.18,3.22
Y,Y,,0.8504,2.265,308.45,3.41
Y,Y,,0.6421,2.601,157.70,4.19
Y,Y,,0.6178,2.475,36.35,3.89
Y,Y,0.343,0.4982,2.038,167.33,2.91
Y,Y,,0.4989,1.243,305.79,1.39
Y,Y,0.252,0.8743,2.262,127.80,3.4
Y,Y,,0.6539,2.423,57.57,3.77
Y,Y,,0.8598,2.102,121.80,3.05
Y,Y,,0.7173,2.97,129.02,5.12
Y,Y,,0.5657,2.316,212.03,3.52
Y,Y,,0.6890,2.094,55.33,3.03
Y,Y,,0.6900,2.372,82.49,3.65
Y,Y,,0.5378,1.573,90.93,1.97
Y,Y,,0.4994,1.219,119.30,1.35
Y,Y,0.076,0.6071,2.41,161.97,3.74
Y,Y,0.332,0.6310,1.616,95.89,2.05
Y,Y,,0.4227,1.762,176.90,2.34
Y,Y,0.213,0.3690,1.555,216.83,1.94
Y,Y,0.139,0.5669,2.246,273.52,3.37
Y,Y,,0.6295,1.599,273.35,2.02
Y,Y,0.480,0.6917,2.032,90.02,2.9
Y,Y,,0.6345,2.827,178.88,4.75
Y,Y,,0.3946,1.586,16.88,2
Y,Y,,0.5809,2.248,318.53,3.37
Y,Y,,0.4859,1.974,3.26,2.77
Y,Y,,0.5643,1.864,300.10,2.55
Y,Y,0.422,0.4328,1.78,24.07,2.37
Y,Y,0.215,0.3551,1.321,318.58,1.52
Y,Y,0.271,0.5091,1.879,342.53,2.58
Y,Y,,0.7289,1.629,59.22,2.08
Y,Y,,0.2914,0.8746,44.18,0.818
Y,Y,,0.7661,1.433,242.44,1.71
Y,Y,,0.6075,2.347,17.45,3.6
Y,Y,0.196,0.1823,0.8702,337.17,0.812
Y,Y,0.285,0.7541,2.891,228.28,4.92
Y,Y,,0.7142,2.355,261.91,3.61
Y,Y,1.214,0.6655,2.862,32.40,4.84
Y,Y,,0.3111,1.467,203.37,1.78
Y,Y,0.208,0.4525,1.703,160.59,2.22
Y,Y,,0.5550,1.972,39.48,2.77
Y,Y,,0.5812,2.47,2.41,3.88
Y,Y,0.123,0.6222,0.7297,23.53,0.623
Y,Y,,0.6539,2.407,316.32,3.73
Y,Y,,0.3562,1.472,323.11,1.79
